time,seconds_elapsed,acc_z,acc_y,acc_x,gry_z,gry_y,gry_x,gravity_z,gravity_y,gravity_x,mag_z,mag_y,mag_x,qz,qy,qx,qw,roll,pitch,yaw,tacc_z,tacc_y,tacc_x,activity
1.70E+18,5.174805176,-1.856374264,0.554578781,-0.059885502,-0.647728264,-1.095925093,0.294337213,1.723981142,9.382268906,2.274049044,14.70099926,-29.24339867,24.70499992,0.635373354,0.533722699,0.429270208,0.356606066,-1.212447286,-1.393857002,3.112804413,-0.944267631,9.672387123,0.649950445,walk
1.70E+18,5.184662842,-2.037629843,1.360109329,-0.249417901,-0.752254248,-0.540006578,0.463309795,1.663670659,9.407879829,2.212324619,14.85960007,-29.07259941,24.79039955,0.633713961,0.536068678,0.429568827,0.355679125,-1.238972902,-1.397407293,3.084995031,-0.556032181,9.272188187,0.942173898,walk
1.70E+18,5.194516357,-2.246996403,1.990329742,-0.840073705,-0.816700816,-0.073101617,0.651456594,1.595480561,9.43753624,2.134888172,14.90839958,-28.90180016,24.87579918,0.632236004,0.538747728,0.429852277,0.353914678,-1.272017121,-1.400257945,3.049255133,0.045164529,9.468698502,1.409372568,walk
1.70E+18,5.204370117,-2.469414711,2.120985985,-1.417572379,-0.795928776,0.167840779,0.812972546,1.516579866,9.468450546,2.053977013,14.87179947,-28.68219948,25.07099915,0.630546927,0.541457057,0.430482328,0.35202235,-1.310732126,-1.402711391,3.00824523,0.984048307,9.995717049,2.247757673,walk
1.70E+18,5.214223389,-2.663790703,1.784180641,-1.673347473,-0.711708844,0.217906728,0.933410466,1.426746607,9.498192787,1.97967577,14.90839958,-28.51140022,25.26619911,0.628141344,0.544172525,0.431585044,0.350783467,-1.354668498,-1.405807972,2.963904381,1.678864241,10.25683403,3.126821041,walk
1.70E+18,5.224070557,-2.695204735,1.307004929,-1.631275892,-0.632815003,0.133686751,0.987803876,1.329944253,9.525608063,1.914268255,14.98159981,-28.26739883,25.58339882,0.624774039,0.546526074,0.433348924,0.350963444,-1.401186109,-1.40993607,2.920479059,1.889731646,9.859027863,3.258725405,walk
1.70E+18,5.23392334,-2.472084999,0.69480896,-1.429347157,-0.585944712,-0.096004128,0.975553691,1.230358362,9.550330162,1.856828213,15.04259968,-28.08440018,25.88839912,0.620583534,0.548244834,0.435761184,0.35272634,-1.447603703,-1.414897442,2.880934,1.856232166,9.36550808,2.595016241,walk
1.70E+18,5.243777832,-2.090332985,-0.032863617,-1.182104111,-0.556584239,-0.45312351,0.920627654,1.130421996,9.572224617,1.806941986,14.85960007,-27.84039879,26.15679932,0.615791976,0.549301505,0.438663363,0.355868727,-1.492689013,-1.420482397,2.845917702,1.38185513,8.901000977,1.356730461,walk
1.70E+18,5.253630859,-1.60192585,-0.450448036,-0.846009791,-0.534747005,-0.877951741,0.842799067,1.031658292,9.591362953,1.764037967,14.84739971,-27.58419991,26.41300011,0.610769331,0.550087154,0.441575199,0.359689146,-1.537186503,-1.426534772,2.81269145,0.620040178,8.673383713,0.364905447,walk
1.70E+18,5.263477295,-0.902824938,-0.269743919,-0.341737986,-0.510779262,-1.290463209,0.762839973,0.935245991,9.607872963,1.727569342,14.74979973,-27.37679863,26.71800041,0.605843365,0.550956964,0.444161952,0.363483667,-1.582904339,-1.432689905,2.777684212,-0.079561353,8.400302887,0.077467635,walk
